"Track URI,""Track Name"",""Artist URI(s)"",""Artist Name(s)"",""Album URI"",""Album Name"",""Album Artist URI(s)"",""Album Artist Name(s)"",""Album Release Date"",""Album Image URL"",""Disc Number"",""Track Number"",""Track Duration (ms)"",""Track Preview URL"",""Explicit"",""Popularity"",""Added By"",""Added At"""
"spotify:track:1cBZ4FQ9D2okavZHlprMVm,""Bj¾ldeklang / Kender I Den Om Rudolf - Medley"",""spotify:artist:3zH5giTwRVntj4cnZWkF6A"",""John Mogensen"",""spotify:album:7crMF6YTfORQRwOHhgZAym"",""Julemusik 2019"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-11-01"",""https://i.scdn.co/image/ab67616d0000b273d5519f1aa3b9cb404c597fe9"",""1"",""33"",""187927"",""https://p.scdn.co/mp3-preview/2e8101798b6644e932a18438a7d410f710426fad?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""13"",""spotify:user:1119625738"",""2019-12-23T12:30:59Z"""
"spotify:track:59fcPZu6Pxe1hUFWCGl9dK,""White Christmas - Remastered"",""spotify:artist:49e4v89VmlDcFCMyDv9wQ9"",""Dean Martin"",""spotify:album:7crMF6YTfORQRwOHhgZAym"",""Julemusik 2019"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-11-01"",""https://i.scdn.co/image/ab67616d0000b273d5519f1aa3b9cb404c597fe9"",""1"",""32"",""149117"",""https://p.scdn.co/mp3-preview/4d31c6bd9173cae27d1ec355b39056217f1dad87?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""12"",""spotify:user:1119625738"",""2019-12-23T12:31:05Z"""
"spotify:track:7Kmdy3SkmtDWZyAPccrFVd,""All I Want for Christmas Is You"",""spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ"",""Mariah Carey"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""2"",""243786"",""https://p.scdn.co/mp3-preview/08860ae7f58d0b35551d6354513e8de559d06da6?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""30"",""spotify:user:1119625738"",""2019-12-23T12:32:06Z"""
"spotify:track:43XFga19RTi435yuur3FCs,""Jul Det' Cool"",""spotify:artist:6nQ6GgIEtRhG0jK4SvzO74"",""Mc Einar"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""6"",""354026"",""https://p.scdn.co/mp3-preview/9bb98019bf55dfcaa3b6da13755c807021bd3a70?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""19"",""spotify:user:1119625738"",""2019-12-23T12:32:33Z"""
"spotify:track:7igQ3fmYdz7HatVBNr3bNq,""Feliz Navidad"",""spotify:artist:7K78lVZ8XzkjfRSI7570FF"",""JosÌ© Feliciano"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""10"",""182226"",""https://p.scdn.co/mp3-preview/02846a9673495f7183b28e4370458f22b220eac6?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""12"",""spotify:user:1119625738"",""2019-12-23T12:32:48Z"""
"spotify:track:0LGFzdaDPdHxM0Yok344XN,""Alletiders Jul - Fra julekalenderen 'Pyrus - Alletiders Jul'"",""spotify:artist:039E4c3MpRLKpFghDgcI4q"",""Karen Gardelli"",""spotify:album:5cbt8fWrMHUCfpG0yHvO9e"",""Pyrus...Allertiders Jul"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2004-09-26"",""https://i.scdn.co/image/ab67616d0000b27398186641b06718e3e25cd321"",""1"",""1"",""192453"",""https://p.scdn.co/mp3-preview/d1068f72c1f7cf125639695553ace40c56dc5782?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""38"",""spotify:user:1119625738"",""2019-12-23T12:32:57Z"""
"spotify:track:5EtvKzwWIQ6NkNQwrQlOsy,""Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)"",""spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:0JXiS2FrAg3wQYJHcmZdrc"",""Frank Sinatra, B. Swanson Quartet"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""26"",""155600"",""https://p.scdn.co/mp3-preview/e9495c9046a8a53b2925db60c0d7654646592b49?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""11"",""spotify:user:1119625738"",""2019-12-23T12:33:13Z"""
"spotify:track:3oEVdq1U18xfrUG3cUKkYp,""It's Gonna Be a Cold Cold Christmas"",""spotify:artist:5whHVnn6YwaJeQSEMRwFOn"",""Darleens"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""36"",""275546"",""https://p.scdn.co/mp3-preview/1bba551487f3ea5a5e51ee41f399847bb8aed0b3?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""22"",""spotify:user:1119625738"",""2019-12-23T12:33:27Z"""
"spotify:track:75clRtmtXSkZsPm6SjjQ5j,""Santa Claus Is Comin' to Town"",""spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0"",""Frank Sinatra"",""spotify:album:2QRrrjJcbfHSx79HbXLpdl"",""Christmas Songs By Sinatra"",""spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0"",""Frank Sinatra"",""1948"",""https://i.scdn.co/image/ab67616d0000b273ab635079e314b1b477a39485"",""1"",""9"",""154826"","""",""false"",""0"",""spotify:user:1119625738"",""2019-12-23T12:33:38Z"""
"spotify:track:3pRaLNL3b8x5uBOcsgvdqM,""Hallelujah"",""spotify:artist:3nnQpaTvKb5jCQabZefACI"",""Jeff Buckley"",""spotify:album:7yQtjAjhtNi76KRu05XWFS"",""Grace"",""spotify:artist:3nnQpaTvKb5jCQabZefACI"",""Jeff Buckley"",""1994"",""https://i.scdn.co/image/ab67616d0000b2736a760642a56847027428cb61"",""1"",""6"",""413826"",""https://p.scdn.co/mp3-preview/dc7e87e73fae0e729c99fdc417b9bb5e20ec9223?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""71"",""spotify:user:1119625738"",""2019-12-23T12:34:29Z"""
